Quarter,City,HPI@Assessment Prices,HPI_Lag1,Repo_Rate,Repo_Rate_Lag1,CPI_Inflation,M3_Growth,GDP_Growth
Sep-19,Hyderabad,127,122,5.516666667,5.916666667,144.0666667,10.00666667,3.26
Dec-19,Hyderabad,131,127,5.15,5.516666667,147.1,10.26666667,2.94
Mar-20,Hyderabad,135,131,4.9,5.15,147.7333333,10.07666667,-23.13
Jun-20,Hyderabad,137,135,4.133333333,4.9,150.7666667,11.6,-5.84
Sep-20,Hyderabad,139,137,4,4.133333333,154.0333333,12.65666667,1.78
Dec-20,Hyderabad,142,139,4,4,156.5333333,12.15666667,3.29
Mar-21,Hyderabad,146,142,4,4,156.4,12.37,22.63
Jun-21,Hyderabad,148,146,4,4,159.3,10.7,9.87
Sep-21,Hyderabad,152,148,4,4,162.1,9.59,5.53
Dec-21,Hyderabad,156,152,4,4,165.1333333,10.19666667,4.45
Mar-22,Hyderabad,162,156,4,4,165.6666667,8.633333333,13.49
Jun-22,Hyderabad,165.3,162,4.433333333,4,170.4666667,8.683333333,5.96
Sep-22,Hyderabad,168.55,165.3,5.4,4.433333333,173.1666667,8.703333333,4.84
Dec-22,Hyderabad,171.95,168.55,6.016666667,5.4,174.8,8.91,6.90
Mar-23,Hyderabad,174.75,171.95,6.416666667,6.016666667,175.6,9.446666667,9.66
Jun-23,Hyderabad,176.41,174.75,6.5,6.416666667,178.5,11.09333333,9.34
Sep-23,Hyderabad,179.94,176.41,6.5,6.5,183.8,11.21,9.51
Dec-23,Hyderabad,182.7,179.94,6.5,6.5,183.7333333,11.60333333,8.35
Mar-24,Hyderabad,186.51,182.7,6.5,6.5,183.7,11.34333333,6.51
Jun-24,Hyderabad,190.99,186.51,6.5,6.5,186.0666667,11.31666667,5.61
Sep-24,Hyderabad,191.98,190.99,6.5,6.5,190.6666667,9.976666667,6.37
Dec-24,Hyderabad,193.48,191.98,6.5,6.5,192.9666667,10.18666667,7.38
Mar-25,Hyderabad,195.53,193.48,6.333333333,6.5,190.2,9.45,7.81
Jun-25,Hyderabad,195.3,195.53,5.833333333,6.333333333,191.6666667,9.38,8.23
Sep-25,Hyderabad,197.04,195.3,5.5,5.833333333,194.7333333,9.546666667,8.65
Jun--2013,Indore,81,197.04,7.333333333,5.5,107.3333333,9.22,7.34
Sep--2013,Indore,82,81,7.333333333,7.333333333,112.4333333,9.12,6.53
Dec--2013,Indore,83,82,7.75,7.333333333,114.1,10.14666667,5.34
Mar--2014,Indore,85,83,8,7.75,113.2333333,9.733333333,8.02
Jun--2014,Indore,87,85,8,8,115.5666667,10.79333333,8.70
